row_id,title,artist,album,section,audio_in,start,end,question,answer,
id1c39ee,Grenade,Bruno Mars,Doo-Wops & Hooligans,General,01 - Bruno Mars - Grenade - [Doo-Wops & Hooligans]-aLAtJ0k98SI.webm,4.0,8.0,Name the [big]*song*.,Grenade,0
id48e8a1,Safe And Sound,Capital Cities,In A Tidal Wave Of Mystery (Deluxe Edition),General,Capital Cities - Safe and Sound (lyrics)-P-u_1gNcmek.webm,0.0,10.0,,,1
idd0b4fc,The Safety Dance,Men Without Hats,Greatest,One Hit Wonders,Men Without Hats - Safety Dance (Official Music Video)-AjPau5QYtYs.webm,0.0,8.0,Name the [big]*band*.,Men Without Hats,0
id444aef,Spirit In The Sky,Norman Greenbaum,Spirit In The Sky,One Hit Wonders,Spirit In The Sky Norman Greenbaum-AZQxH_8raCI.webm,0.0,10.0,Name the [big]*singer*.,Norman Greenbaum,0
id59cb3c,Don't Worry Be Happy,Bobby McFerrin,20 #1's: One Hit Wonders,One Hit Wonders,Bobby McFerrin - Don't Worry Be Happy (Official Video)-d-diB65scQU.webm,0.0,5.0,Name the [big]*singer*.,Bobby McFerrin,0
id9a4776,Somebody's Watching Me - Single Version,Rockwell,20 #1's: One Hit Wonders,One Hit Wonders,Rockwell - Somebody's Watching Me (Official Video)-7YvAYIJSSZY.webm,2.0,9.0,Name the [big]*singer*.,Rockwell,0
id267ffa,Hey! Baby,Bruce Channel,20 #1's: One Hit Wonders,One Hit Wonders,Bruce Channel - Hey Baby-ik9dxkKriV0.webm,0.0,9.0,Name the [big]*singer*.,Bruce Channel,0
id17a582,Oh Sheila,Ready For The World,20 #1's: One Hit Wonders,One Hit Wonders,Ready For The World - Oh Sheila (Official Video)-wbL2lMn34Oo.webm,0.0,12.0,Name the [big]*band*.,Ready for the World.,0
idde770f,Harden My Heart,Quarterflash,20 #1's: One Hit Wonders,One Hit Wonders,Quarterflash - Harden My Heart (Official Video)-OqeKV2UYq1Q.webm,2.0,12.0,Name the [big]*band*.,Quarterflash,0
idf6f7ca,My Sharona,The Knack,20 #1's: One Hit Wonders,One Hit Wonders,The Knack - My Sharona (1979)-BR2JtsVumFA.webm,0.0,16.0,Name the [big]*band*.,The Knack,0
id81a255,Disco Duck,The Rubix Cube's,1970's One Hit Wonders,One Hit Wonders,disco duck-97RjuC9YeXg.webm,0.0,10.0,Name the [big]*band* with the very 70s-sounding name.,The Rubix Cubes,0
id8fa707,Bette Davis Eyes (Re-Recorded / Remastered),Kim Carnes,80s 1 Hit Wonders (Re-Recorded / Remastered Versions),One Hit Wonders,Bette Davis Eyes (Re-Recorded) (Remastered)-tDJdEhbSP-g.webm,0.0,8.0,Name the [big]*singer*.,Kim Carnes,0
id909fc9,London Calling - Remastered,The Clash,London Calling (Remastered),Bonus,London Calling (Remastered)-XN7iEFVLf5c.webm,15.0,26.0,"In this song, [big]*what ""has bitten the dust?""*",Phony Beatlemania,0
id36582d,Surf City - Remastered 1990/Stereo Remix,Jan & Dean,Surf City: The Best Of Jan & Dean,Bonus,Surf City (Remastered 1990_Stereo Remix)-ZWMcoxeXKAg.m4a,0.0,8.0,Name the [big]*group*.,Jan & Dean,0
idbfb414,Look Sharp!,Joe Jackson,Look Sharp!,Bonus,Joe Jackson - Look Sharp!-V8-b9LK1trE.webm,0.0,8.0,Name the [big]*song*.,Look Sharp!,0
idaf0332,Can't Help Falling in Love,Elvis Presley,Blue Hawaii,Bonus,Elvis Presley - Can't Help Falling In Love (Audio)-vGJTaP6anOU.webm,0.0,15.0,,,0
id9901fa,In Dreams,Roy Orbison,In Dreams,Bonus,Roy Orbison - In Dreams-MVRunwyoTMA.webm,0.0,9.0,"Name the [big]*movie* in which this song played a significant part,",Blue Velvet,0
ide869ca,(We're Gonna) Rock Around The Clock - Single Version,Bill Haley & His Comets,From The Original Master Tapes,Bonus,Rock Around the Clock-Bill Haley-original song-1955-Ud_JZcC0tHI.m4a,0.0,11.0,Name [big]*either one of the two movies* that had this song as their opening credit music.,American Graffiti and Blackboard Jungle,0
id0b3235,France: La Marseillaise,"Choeur de l'Armée Française, Musique De La Garde Républicaine",Les hymnes officiels de la Coupe du Monde de Rugby (National Anthems Rugby World Cup France),Bonus,Hommage national - la Marseillaise du Choeur de l'Armée française-SLe6KcssqiM.m4a,0.0,11.0,,,0
id624553,"Gone, Gone, Gone",Carl Perkins,The Dance Album,Bonus,Carl Perkins-Gone Gone Gone-yrhZKavICNU.m4a,0.0,6.0,,,0
id66a428,Great Balls Of Fire,Jerry Lee Lewis,The Golden Rock Hits Of Jerry Lee Lewis,Bonus,Great Balls of Fire-Jerry Lee Lewis-original song-1957-Jt0mg8Z09SY.m4a,0.0,6.0,,,0
id5ccc88,Pet Sounds - Remastered,The Beach Boys,Pet Sounds (Original Mono & Stereo Mix Versions),Bonus,Pet Sounds (Remastered)-EeN_NytxKEc.webm,0.0,21.0,"Name the [big]*band*, the [big]*song* and the [big]*album* - we need all three.",The Beach Boys; Pet Sounds; Pet Sounds,0
idedd7f1,Jules and Jim (Movie Main Theme),Film & TV Masters,Ultimate Movie Theme Playlist,Movie,Jules and Jim (Movie Main Theme)-iFtFCZhFnMU.webm,0.0,12.0,,,0
idc0248f,"The Good, the Bad and the Ugly (Movie Main Theme)",Film & TV Masters,Ultimate Movie Theme Playlist,Movie,"The Good, the Bad and the Ugly (Movie Main Theme)-o-zafpeLXhE.webm",0.0,10.0,Name the [big]*movie*.,"The Good, the Bad and the Ugly",0
id065c2c,Superman (Movie Main Theme),Film & TV Masters,Ultimate Movie Theme Playlist,Movie,Superman (Movie Main Theme)-cm97g2cOKto.webm,0.0,13.0,Name the [big]*movie*.,Superman,0
idc1ff38,A Man and a Woman (Movie Main Theme),Film & TV Masters,Ultimate Movie Theme Playlist,Movie,A Man and a Woman (Movie Main Theme)-So9rDiGxQTQ.webm,0.0,10.0,Name the [big]*movie*.,A Man and a Woman,0
idaaf781,The Godfather,A Century Of Movie Soundtracks,A Century Of Movie Soundtracks Vol. 2,Movie,The Godfather-DGtEtwdZZKo.webm,0.0,15.0,Name the [big]*movie*.,The Godfather.,0
id3e0bac,The Pink Panther,A Century Of Movie Soundtracks,A Century Of Movie Soundtracks Vol. 1,Movie,The Pink Panther-XdnnytXfj5g.webm,0.0,20.0,Name the [big]*composer*.,Henry Mancini,0
id2f6b5f,"End Title (from ""Lawrence Of Arabia"")",London Philharmonic Orchestra,Lawrence Of Arabia (Original Soundtrack Recording),Movie,End Title--O-6Da8wD0A.webm,2.0,15.0,Name the [big]*movie*.,Lawrence of Arabia,0
id8971dc,La dolce vita,"Nino Rota, Studio Orchestra, StudioConductor",Original Music for the Movies of Federico Fellini,Movie,La dolce vita - Titoli testa - Canzonetta - Notturno - Cadillac-M_pDPlITpcU.webm,0.0,20.0,,,0
id4efc9e,Amarcord,Nino Rota,Amarcord,Movie,Nino Rota - Amarcord-bk4MEhUkxco.webm,0.0,15.0,Name the [big]*movie*.,Amarcord,0
idb06114,Patton,DLG Orchestra,Greatest Movie Themes,Movie,Patton - March-HAe40MzBktg.webm,0.0,18.0,,,0
id4e2dc2,Being Alive,2006 Broadway Revival Cast,Company (2006 Broadway Revival Cast),Broadway,Being Alive - Company 2006 Broadway Revival - Raul Esparza-YLTulpBF3H4.webm,37.5,55.0,Name the [big]*composer*.,Stephen Sondheim,0
ida83f57,Whatever Lola Wants,Gwen Verdon,Damn Yankees (Original Soundtrack) [Remastered],Broadway,"Whatever Lola Wants, Damn Yankees.-6kjQmgm0r4g.m4a",17.0,31.5,Name the [big]*musical*.,Damn Yankees,0
id67c3f8,They Say It's Wonderful,Annie Get Your Gun - The 1999 Broadway Cast,Annie Get Your Gun - The New Broadway Cast Recording (Staring Bernadette Peters),Broadway,Annie Get Your Gun (1999 Broadway Revival Cast) - 9. They Say It's Wonderful-3nuUHCKiBuo.webm,0.0,20.0,Name the [big]*composer*.,Irving Berlin,0
idad443f,Alexander Hamilton,"Leslie Odom, Jr., Anthony Ramos, Daveed Diggs, Okieriete Onaodowan, Lin-Manuel Miranda, Phillipa Soo, Christopher Jackson & Original Broadway Cast of Hamilton",Hamilton (Original Broadway Cast Recording),Broadway,Alexander Hamilton-VhinPd5RRJw.webm,0.0,3.5,Name the [big]*musical*.,Hamilton,0
ide8b5d6,One (Reprise) / Finale,A Chorus Line Ensemble,A Chorus Line - 40th Anniversary Celebration (Original Broadway Cast Recording),Broadway,One (Reprise) _ Finale-OiBIXa_-7Vo.webm,0.0,7.5,Name the [big]*musical*.,A Chorus Line,0
idf0ce4d,Don't Rain On My Parade,Barbra Streisand,The Essential Barbra Streisand,Broadway,Barbra Streisand - Don't Rain On My Parade-oZTSuMErgsw.webm,0.0,7.0,Name the [big]*song*. ,Don't Rain On My Parade,0
id3182d2,Corner of the Sky,Matthew James Thomas,Pippin (New Broadway Cast Recording),Broadway,Corner of the Sky-Mdkyc686VIg.webm,0.0,22.0,Name the [big]*musical*.,Pippin,0
id92b1df,Something's Coming,Matt Cavenaugh,West Side Story (New Broadway Cast Recording - 2009),Broadway,West Side Story - Something's Coming (1961) HD-FOQPMjKLQQU.webm,0.0,14.0,Name the [big]*song*.,Something's Coming.,0
idbbd961,Overture,"2003 Broadway Cast of ""Gypsy""",Gypsy (2003 Broadway Cast),Broadway,Overture-Te-Tgsw2vOE.webm,0.0,10.0,Name the [big]*musical*.,Gypsy,0
id5c5a0b,42nd Street,"Wanda Richert, Lee Roy Reams & 42nd Street Ensemble",42nd Street - Original Broadway Cast Recording,Broadway,42nd Street-bPuQkW1-s9k.webm,1.5,12.0,Name the [big]*musical*.,42nd Street,0
id698543,Tenth Avenue Freeze-Out,Bruce Springsteen,Born To Run,New York,Bruce Springsteen - Tenth Avenue Freeze-Out.wmv-BL-HL3ELvFI.webm,0.0,13.0,Name the [big]*song*.,Tenth Avenue Freeze Out,0
id2b1e67,"Theme from New York, New York",Frank Sinatra,Ultimate Sinatra: The Centennial Collection,New York,"Theme From New York, New York (Remastered 2008)-le1QF3uoQNg.webm",0.0,5.0,Name the [big]*person* who sang this song in the *movie in which it first appeared*.,"Liza Minelli (in _New York, New York_)",0
id379032,On Broadway,George Benson,The George Benson Collection,New York,GEORGE BENSON On Broadway Album Version-ok__l1Acuwg.webm,0.0,15.0,Name the [big]*song*. ,On Broadway,0
id7e08a4,Christmas In Hollis (Bonus Track),Run-DMC,Tougher Than Leather,New York,RUN DMC - Christmas In Hollis (Video)-OR07r0ZMFb8.webm,45.0,60.0,Name the [big]*song*.,Christmas in Hollis,0
idacbe89,Native New Yorker,Odyssey,Odyssey (Expanded Edition),New York,Odyssey - Native New Yorker (1977) HD-JpQ6NtbZxiE.webm,0.0,15.0,Name the [big]*song*.,Native New Yorker,0
id153019,Empire State of Mind (feat. Alicia Keys),JAY-Z & Alicia Keys,"The Hits Collection, Vol. One (Deluxe Edition)",New York,Jay-Z feat. Alicia Keys - Empire State of Mind Official Music Video (Original Version)-QsZlY0Vz4-o.webm,0.0,12.0,Name the [big]*song*.,Empire State of Mind,0
id9488f6,Fairytale of New York,The Pogues,If I Should Fall from Grace With God [Expanded],New York,The Pogues -  Fairytale Of New York (Official Video)-j9jbdgZidu8.webm,0.0,13.0,Name the [big]*song*.,Fairytale of New York,0
id24ee4e,Spanish Harlem,Ben E. King,Spanish Harlem,New York,Ben E King - Spanish Harlem-OGd6CdtOqEE.m4a,0.0,8.1,Name the [big]*song*.,Spanish Harlem,0
id65ef22,The Boy from New York City,The Ad Libs,Discover 60s One Hit Wonders,New York,The Ad Libs - The Boy From New York City (with lyrics)-3TPYmeSqLjc.m4a,0.0,7.0,,,0
id861953,Lullaby of Broadway (with The Dave Brubeck Trio) [Live],Tony Bennett,"The White House Sessions, Live 1962",New York,Lullaby Of Broadway (Live)-n8sd4KiP5iA.webm,0.0,10.0,,,0
id047101,Hedwig's Theme,John Williams,Harry Potter and the Sorcerer's Stone,Movies,Harry Potter Theme Song-Htaj3o3JD8I.webm,0.0,15.0,Name the [big]*movie*.,Harry Potter,0
id182736,Taxi Driver Theme,Bernard Herrmann,Taxi Driver,Movies,Bernard Herrmann - Taxi Driver (theme)-Bx4aK-YsPeU.webm,0.0,20.0,Name the [big]*movie*.,Taxi Driver,0
id126531,Chariots of Fire Theme,Vangelis,Chariots of Fire,Movies,Chariots of Fire • Main Theme • Vangelis-CSav51fVlKU.webm,0.0,10.0,Name the [big]*movie*.,Chariots of Fire,0
id123413,Reptilia,The Strokes,Room on Fire,Bonus,The Strokes - Reptilia (Official Music Video)-b8-tXG8KrWs.webm,8.0,20,Name the [big]*album*.,Room on Fire,0
id165311,A-Punk,Vampire Weekend,Vampire Weekend,General,Vampire Weekend - A-Punk-_XC2mqcMMGQ.webm,3,14,Name the [big]*band*.,Vampire Weekend,0
id817263,Hey Joe,The Jimi Hendrix Experience,Are You Experienced?,General,The Jimi Hendrix Experience - Hey Joe (Audio)-rXwMrBb2x1Q.m4a,16,27,Name the [big]*artist*.,Jimi Hendrix,0
id981721,Feel Good Inc.,The Gorillaz,Demon Days,General,Feel Good Inc.-YiiWwwDpxvo.webm,0,7,Name the [big]*song*.,Feel Good Inc.,0
id918275,Californication,Red Hot Chili Peppers,Californication,General,Californication-OtXiwSCq99Q.webm,0,10,Name the [big]*song*.,Californication,0
id198223,Stayin' Alive,Bee Gees,The Ultimate Bee Gees,General,Bee Gees Stayin Alive (Extended Remaster)-YxvBPH4sArQ.webm,0,7,Name the [big]*band*.,Bee Gees,0
id102983,Take the A Train,Duke Ellington,Ellington Uptown,New York,"Duke Ellington, 'Take the A Train'-cb2w2m1JmCY.m4a",11,22,Name the [big]*song*.,Take the A Train,0
id675356,Welcome to New York,Taylor Swift,1989,New York,Welcome To New York-RvYysauPsMc.webm,20,32,Name the [big]*artist*.,Taylor Swift,0
id657764,I Love New York,Madonna,Confessions on a Dance Floor,New York,Madonna - I Love New York (Album Version)-Q5zTtDu219E.webm,0,30,,,0
id387121,Baba O'Riley,The Who,Who's Next,General,Teenage Wasteland by The Who-JGHxIKa31Jk.webm,0,10,Name the [big]*song*.,Baba O'Riley,0
