row_id,title,artist,album,section,audio_in,start,duration,question,answer,
d9f2e8,Stronger,Kanye West,Stronger (Int'l ECD Maxi),General,Kanye West - Stronger-PsO6ZnUZI0g.webm,,,Name the artist. ,Kayne West,Stronger
69b19c,Old Town Road (feat. Billy Ray Cyrus) - Remix,"Lil Nas X, Billy Ray Cyrus",Old Town Road,General,Lil Nas X - Old Town Road (feat. Billy Ray Cyrus) [Remix]-7ysFgElQtjI.webm,,,Name the song.,Old Town Road,Old Town Road (feat. Billy Ray Cyrus) - Remix
7aaa7a,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,"Daft Punk, Pharrell Williams, Nile Rodgers",Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],General,"Daft Punk - Get Lucky (Official Audio) ft. Pharrell Williams, Nile Rodgers-5NV6Rdv1a3I.webm",,,Name the song.,Get Lucky,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit
8171de,Ridin' Solo,Jason Derulo,Jason Derulo (Deluxe Audio),General,Jason Derulo - Ridin' Solo  (Official Video in HD)-8ESdn0MuJWQ.webm,,,Name the artist.,Jason Derulo,Ridin' Solo
8105b9,Hey Brother,Avicii,TRUE,General,Avicii - Hey Brother-6Cp6mKbRTQY.webm,,,Name the Artist.,Avicii,Hey Brother
aee9ea,Fast Car,"Jonas Blue, Dakota",Fast Car,General,Jonas Blue ft. Dakota - Fast Car Official Music Video-0wpuR68uw-8.webm,,,Name the song.,Fast car.,Fast Car
22e5d1,Smells Like Teen Spirit,Nirvana,Nevermind (Remastered),General,Nirvana - Smells Like Teen Spirit (Official Music Video)-hTWKbfoikeg.webm,,,Name the song.,Smells Like Teen Spirit,Smells Like Teen Spirit
d20438,Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual: A 30th Anniversary Celebration (Deluxe Edition),General,Cyndi Lauper - Girls Just Want To Have Fun (Official Video)-PIb6AZdTr-A.webm,,,Name the artist.,Cyndi Lauper,Girls Just Want to Have Fun
08778b,Africa,TOTO,Toto IV,General,Toto - Africa (Official Music Video)-FTQbiNvZqaY.webm,,,Name the band.,Toto,Africa
eb5573,Walk Like an Egyptian,The Bangles,The Essential Bangles,General,The Bangles - Walk Like an Egyptian (Video Version)-Cv6tuzHUuuk.webm,,,Name the band.,The Bangles,Walk Like an Egyptian
bbfbfe,Every Breath You Take,The Police,Every Breath You Take : The Classics,General,The Police - Every Breath You Take-OMOGaugKpzs.webm,,,Name the song.,Every Breath You Take,Every Breath You Take
3b6ed6,Karma Chameleon,Culture Club,At Worst...The Best Of Boy George And Culture Club,General,Culture Club - Karma Chameleon (Official Video)-JmcA9LIIXWw.webm,,,Name the lead singer (not the band).,Boy George,Karma Chameleon
0c50e9,Jolene,Dolly Parton,Jolene,General,Dolly Parton - Jolene 19880110-L0eeSoU35wM.m4a,,,Name the singer.,Dolly Parton,Jolene
740a96,Crazy,Gnarls Barkley,St. Elsewhere,General,Gnarls Barkley - Crazy (Official Video)--N4jf6rtyuw.webm,,,Name the singer.,Gnarls Barkley,Crazy
ee9cdc,September,"Earth, Wind & Fire",The Eternal Dance,General,"Earth, Wind & Fire - September (Official Music Video)-Gs069dndIYk.webm",,,Name the album that this song appeared on.,The Eternal Dance,September
98fbc0,Lean on Me,Bill Withers,Still Bill,General,'Lean On Me' singer Bill Withers dies at 81-DN-dvc5bBWM.m4a,,,Name the singer.,Bill Withers,Lean on Me
4e5490,Good Vibrations - Remastered,The Beach Boys,Good Vibrations 40th Anniversary,General,GOOD VIBRATIONS (HD) THE BEACH BOYS-mdt0SOqPJcg.webm,,,Name the band.,The Beach Boys,Good Vibrations - Remastered
b527d3,Light My Fire,The Doors,The Doors,General,The Doors - Light My Fire-cq8k-ZbsXDI.webm,,,Name the city in which the lead singer of this band is buried.,Paris,Light My Fire
b52f1b,What A Wonderful World,Louis Armstrong,Hello Louis - The Hit Years (1963-1969),General,Louis Armstrong - What A Wonderful World (Lyrics)-A3yCcXgbKrE.webm,,,Name the song.,What a Wonderful World,What A Wonderful World
413fa3,Johnny B. Goode - Single Version,Chuck Berry,20th Century Masters: The Millennium Collection: Best Of Chuck Berry,General,Chuck Berry - Johnny B. Goode (Single)-tXba00vudss.m4a,,,Name the performer.,Chuck Berry,Johnny B. Goode - Single Version
cae3f1,Tequila (Original),The Champs,Tequila,General,Tequila - The Champs-3H6amDbAwlY.webm,,,Name the band.,The Champs,Tequila (Original)
133a4c,Uptown Funk (feat. Bruno Mars),"Mark Ronson, Bruno Mars",Uptown Special,General,Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars-OPf0YbXqDm0.webm,,,Name the song.,Uptown Funk,Uptown Funk (feat. Bruno Mars)
efe972,Royals,Lorde,Pure Heroine,General,Lorde ~ Royals ~ With Lyrics ~ Pure Heroine-4znHLOWm7pY.webm,,,Name the song.,Royals,Royals
4fca9f,Moondance - 2013 Remaster,Van Morrison,Moondance (Deluxe Edition),General,Moondance (2013 Remaster)-7kfYOGndVfU.webm,,,Name the performer.,Van Morrison,Moondance - 2013 Remaster
9396,Is This Love,Bob Marley & The Wailers,Kaya - Deluxe Edition,General,Bob Marley & The Wailers - Is This Love-cOJsK8qbAaA.webm,,,Name the song.,Is this Love,Is This Love
9aebe3,My Generation - Mono Version,The Who,The Who Sings My Generation (U.S. Version),General,My Generation (Mono Version)-fRipFYoji2A.m4a,,,Name the song. ,My Generation,My Generation - Mono Version
465b17,Come Sail Away,Styx,The Grand Illusion,General,Come Sail Away-eYCFrcCqh7Q.webm,,,Name the band.,Styx,Come Sail Away
4.4E+127,Walk This Way,Aerosmith,Toys In The Attic,General,Aerosmith - Walk This Way (Audio)-4c8O2n1Gfto.webm,,,Name the lead singer.,Steven Tyler,Walk This Way
5b40b2,Free Bird,Lynyrd Skynyrd,Pronounced' Leh-'Nerd 'Skin-'Nerd,General,Free Bird-CqnU_sJ8V-E.webm,,,Name the song.,Free Bird,Free Bird
4c4a05,Margaritaville,Jimmy Buffett,Songs You Know By Heart,General,Jimmy Buffett - Margaritaville (with lyrics)-ue2-ZVxpVjc.webm,,,Name the song. ,Margaritaville,Margaritaville
a7e9d0,Cocaine,Eric Clapton,Slowhand 35th Anniversary (Super Deluxe),General,Eric Clapton - Cocaine + lyrics-3bEUaeG4wH4.webm,,,Name the performer.,Eric Clapton,Cocaine
2e1108,Gold Digger,"Kanye West, Jamie Foxx",Late Registration,General,Kanye West - Gold Digger ft. Jamie Foxx-6vwNcNOTVzY.m4a,,,Name the song.,Gold Digger,Gold Digger
7444d5,I Gotta Feeling,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),General,The Black Eyed Peas - I Gotta Feeling (Official Music Video)-uSD4vsh1zDA.webm,,,Name the band.,Black Eyed Peas,I Gotta Feeling
782a00,Escape (The Pina Colada Song),Rupert Holmes,Partners In Crime,General,10. Rupert Holmes - Escape (The Piña Colada Song)-TazHNpt6OTo.m4a,,,Name the song (including both the main title and the part in parentheses),Escape (The Pina Colada Song),Escape (The Pina Colada Song)
5.061E+08,Ring of Fire,Johnny Cash,Johnny Cash - 16 Biggest Hits,General,Ring of Fire Johnny Cash-mIBTg7q9oNc.webm,,,"What does ""love"" make in this song?","""It makes a fiery ring""",Ring of Fire
d010df,All About That Bass,Meghan Trainor,All About That Bass,General,Meghan Trainor - All About That Bass (Official Music Video)-7PCkvCPvDXk.webm,,,Name the singer.,Meghan Trainor,All About That Bass
d20506,Bridge Over Troubled Water,Simon & Garfunkel,Bridge Over Troubled Water,General,Simon & Garfunkel - Bridge Over Troubled Water (Audio)-4G-YQA_bsOU.webm,,,Name the song (title must be exact).,Bridge Over Troubled Water,Bridge Over Troubled Water
c7cf8a,Happy,Pharrell Williams,Despicable Me 2 (Original Motion Picture Soundtrack),General,Pharrell Williams - Happy (Official Music Video)-ZbZSe6N_BXs.webm,,,Name the film that this song was featured in. ,Despicable Me 2,Happy
c933db,Go Your Own Way - 2004 Remaster,Fleetwood Mac,Rumours,General,Go Your Own Way (2004 Remaster)-DubafeFeJ7Y.webm,,,Name the song.,Go Your Own Way,Go Your Own Way - 2004 Remaster
1d7766,One Way Or Another - Remastered,Blondie,One Way Or Another,General,One Way Or Another (Remastered)-Fnb1xYDViDs.webm,,,Name the group.,Blondie,One Way Or Another - Remastered
8fbb24,Holiday / Boulevard of Broken Dreams,Green Day,American Idiot,General,Holiday _ Boulevard of Broken Dreams-J0xe5DcnYSA.webm,,,Name the group.,Green Day,Holiday / Boulevard of Broken Dreams
41d6f8,Twist And Shout - Remastered 2009,The Beatles,Please Please Me (Remastered),General,Twist And Shout (Remastered 2009)-2RicaUqd9Hg.webm,,,Name the song.,Twist and Shout,Twist And Shout - Remastered 2009
ecd5b4,Shout,The Isley Brothers,Pure... '50s,General,The Isley Brothers - Shout-rWRsJ-mDU5o.webm,,,Name the group.,The Isley Brothers,Shout
7f777a,Build Me Up Buttercup,The Foundations,Build Me Up Buttercup (The Complete Pye Collection),General,Build Me Up Buttercup-Nl_2iEP1Wts.m4a,,,Name the group.,The Foundations,Build Me Up Buttercup
fdea7f,Wake Me Up Before You Go-Go,Wham!,Make It Big,General,Wham! - Wake Me Up Before You Go Go (Official HD Video)-ELflyACZXQQ.webm,,,Name the song.,Wake Me Up Before You Go-Go,Wake Me Up Before You Go-Go
8f5b96,Pump It Up,Elvis Costello & The Attractions,This Year's Model,General,Elvis Costello & The Attractions - Pump It Up-3Y71iDvCYXA.webm,,,Name the artist.,Elvis Costello,Pump It Up
6942ec,Everyday I Write The Book,Elvis Costello & The Attractions,Punch The Clock,General,Elvis Costello & The Attractions - Everyday I Write The Book-V1d4r9awjKE.webm,,,Name the album on which this song appeared.,Punch the Clock,Everyday I Write The Book
92d0fb,What's Going On,Marvin Gaye,What's Going On,General,Marvin Gaye - What's Going On-H-kA3UtBj4M.webm,,,Name the artist.,Marvin Gaye,What's Going On
90e40c,Theme From Shaft - Album - Remastered,Isaac Hayes,Shaft (Deluxe Edition),General,Theme From Shaft by Isaac Hayes from Shaft (Music From The Soundtrack)-uNJKmf6KTcU.webm,,,Name the artist.,Isaac Hayes,Theme From Shaft - Album - Remastered
e32ec6,Norwegian Wood (This Bird Has Flown) - Remastered 2009,The Beatles,Rubber Soul (Remastered),General,Norwegian Wood (This Bird Has Flown)-Y_V6y1ZCg_8.webm,,,Name the song (inclding both the main title and the part in parentheses).,Norwegian Wood (This Bird Has Flown),Norwegian Wood (This Bird Has Flown) - Remastered 2009
e27f4b,I Want To Hold Your Hand - Remastered 2015,The Beatles,1 (Remastered),General,I Want To Hold Your Hand (Remastered 2015)-v1HDt1tknTc.webm,,,Name the song.,I Want to Hold Your Hand,I Want To Hold Your Hand - Remastered 2015
7de4ce,Blackbird - Remastered,The Beatles,The Beatles (Remastered),General,Blackbird (Remastered 2009)-Man4Xw8Xypo.webm,,,Name the song. ,Blackbird,Blackbird - Remastered
91a7fc,God Only Knows - Remastered,The Beach Boys,Pet Sounds (Original Mono & Stereo Mix Versions),General,God Only Knows (Remastered)-CWPo5SC3zik.m4a,,,Name the song.,God Only Knows,God Only Knows - Remastered
idb52fe2,American Pie,Don McLean,The Best Of Don McLean,General,American Pie-iX_TFkut1PM.webm,,,Name the performer.,Don McLean,American Pie
0077fc,Is She Really Going Out With Him?,Joe Jackson,Look Sharp!,General,JOE JACKSON ★ Is She Really Going Out with Him 【HD】-6TzKSFbsh2Y.m4a,,,Name the performer.,Joe Jackson,Is She Really Going Out With Him?
428796,Come On Eileen,Dexys Midnight Runners,Too Rye Ay,General,Come On Eileen-GbpnAGajyMc.webm,,,Name the band.,Dexys Midnight Runners,Come On Eileen
5245be,The Logical Song - Remastered 2010,Supertramp,Breakfast In America (Deluxe Edition),General,The Logical Song-low6Coqrw9Y.m4a,,,Name the song.,The Logical Song,The Logical Song - Remastered 2010
5cfb9d,Rebel Rebel - 1999 Digital Remaster,David Bowie,Best Of Bowie,General,Rebel Rebel (1997 Remaster)-Wb3bfsuttdk.webm,,,Name the song.   ,Rebel Rebel,Rebel Rebel - 1999 Digital Remaster
7f33e8,King Kunta,Kendrick Lamar,To Pimp A Butterfly,General,Kendrick Lamar - King Kunta-hRK7PVJFbS8.webm,,,Name the album on which this song appeared.,To Pimp a Butterfly,King Kunta
1c39ee,Grenade,Bruno Mars,Doo-Wops & Hooligans,General,01 - Bruno Mars - Grenade - [Doo-Wops & Hooligans]-aLAtJ0k98SI.webm,,,Name the song.,Grenade,Grenade
d0b4fc,The Safety Dance,Men Without Hats,Greatest,One Hit Wonders,Men Without Hats - Safety Dance (Official Music Video)-AjPau5QYtYs.webm,,,Name the band.,Men Without Hats,The Safety Dance
444aef,Spirit In The Sky,Norman Greenbaum,Spirit In The Sky,One Hit Wonders,Spirit In The Sky Norman Greenbaum-AZQxH_8raCI.webm,,,Name the singer.,Norman Greenbaum,Spirit In The Sky
59cb3c,Don't Worry Be Happy,Bobby McFerrin,20 #1's: One Hit Wonders,One Hit Wonders,Bobby McFerrin - Don't Worry Be Happy (Official Video)-d-diB65scQU.webm,,,Name the singer.,Bobby McFerrin,Don't Worry Be Happy
9a4776,Somebody's Watching Me - Single Version,Rockwell,20 #1's: One Hit Wonders,One Hit Wonders,Rockwell - Somebody's Watching Me (Official Video)-7YvAYIJSSZY.webm,,,Name the singer.,Rockwell,Somebody's Watching Me - Single Version
267ffa,Hey! Baby,Bruce Channel,20 #1's: One Hit Wonders,One Hit Wonders,Bruce Channel - Hey Baby-ik9dxkKriV0.webm,,,Name the singer.,Bruce Channel,Hey! Baby
17a582,Oh Sheila,Ready For The World,20 #1's: One Hit Wonders,One Hit Wonders,Ready For The World - Oh Sheila (Official Video)-wbL2lMn34Oo.webm,,,Name the band.,Ready for the World.,Oh Sheila
de770f,Harden My Heart,Quarterflash,20 #1's: One Hit Wonders,One Hit Wonders,Quarterflash - Harden My Heart (Official Video)-OqeKV2UYq1Q.webm,,,Name the band.,Quarterflash,Harden My Heart
f6f7ca,My Sharona,The Knack,20 #1's: One Hit Wonders,One Hit Wonders,The Knack - My Sharona (1979)-BR2JtsVumFA.webm,,,Name the band.,The Knack,My Sharona
81a255,Disco Duck,The Rubix Cube's,1970's One Hit Wonders,One Hit Wonders,disco duck-97RjuC9YeXg.webm,,,Name the band with the very 70s-sounding name.,The Rubix Cubes,Disco Duck
8fa707,Bette Davis Eyes (Re-Recorded / Remastered),Kim Carnes,80s 1 Hit Wonders (Re-Recorded / Remastered Versions),One Hit Wonders,Bette Davis Eyes (Re-Recorded) (Remastered)-tDJdEhbSP-g.webm,,,Name the singer.,Kim Carnes,Bette Davis Eyes (Re-Recorded / Remastered)
909fc9,London Calling - Remastered,The Clash,London Calling (Remastered),Bonus,London Calling (Remastered)-XN7iEFVLf5c.webm,,,"In this song, what ""has bitten the dust?""",Phony Beatlemania,London Calling - Remastered
36582d,Surf City - Remastered 1990/Stereo Remix,Jan & Dean,Surf City: The Best Of Jan & Dean,Bonus,Surf City (Remastered 1990_Stereo Remix)-ZWMcoxeXKAg.m4a,,,Name the group.,Jan & Dean,Surf City - Remastered 1990/Stereo Remix
bfb414,Look Sharp!,Joe Jackson,Look Sharp!,Bonus,Joe Jackson - Look Sharp!-V8-b9LK1trE.webm,,,Name the album.,Look Sharp!,Look Sharp!
af0332,Can't Help Falling in Love,Elvis Presley,Blue Hawaii,Bonus,Elvis Presley - Can't Help Falling In Love (Audio)-vGJTaP6anOU.webm,,,Name the movie in which this song was sung by this artist.,Blue Hawaii,Can't Help Falling in Love
9901fa,In Dreams,Roy Orbison,In Dreams,Bonus,Roy Orbison - In Dreams-MVRunwyoTMA.webm,,,"Name the movie in which this song played a significant part,",Blue Velvet,In Dreams
e869ca,(We're Gonna) Rock Around The Clock - Single Version,Bill Haley & His Comets,From The Original Master Tapes,Bonus,Bill Haley & His Comets - Rock Around The Clock (1955) HD-ZgdufzXvjqw.m4a,,,Name the two movies that had this song as their opening credit music. ,American Graffiti and Blackboard Jungle,(We're Gonna) Rock Around The Clock - Single Version
0b3235,France: La Marseillaise,"Choeur de l'Armée Française, Musique De La Garde Républicaine",Les hymnes officiels de la Coupe du Monde de Rugby (National Anthems Rugby World Cup France),Bonus,Hommage national - la Marseillaise du Choeur de l'Armée française-SLe6KcssqiM.m4a,,,Name  famous  film in which this song was sung spontaneously.,Casablanca,France: La Marseillaise
624553,"Gone, Gone, Gone",Carl Perkins,The Dance Album,Bonus,Carl Perkins-Gone Gone Gone-yrhZKavICNU.m4a,,,Name the song.,Gone Gone Gone,"Gone, Gone, Gone"
66a428,Great Balls Of Fire,Jerry Lee Lewis,The Golden Rock Hits Of Jerry Lee Lewis,Bonus,Great Balls of Fire-Jerry Lee Lewis-original song-1957-Jt0mg8Z09SY.m4a,,,Name the famous televangelist who was a cousin of the this singer.,Jimmy Swaggert,Great Balls Of Fire
5ccc88,Pet Sounds - Remastered,The Beach Boys,Pet Sounds (Original Mono & Stereo Mix Versions),Bonus,Pet Sounds (Remastered)-EeN_NytxKEc.webm,,,"Name the band, the song and the album - we need all three.",the Beach Boys; Pet Sounds; Pet Sounds,Pet Sounds - Remastered
edd7f1,Jules and Jim (Movie Main Theme),Film & TV Masters,Ultimate Movie Theme Playlist,Movie,Jules and Jim (Movie Main Theme)-iFtFCZhFnMU.webm,,,Name the movie.,Jules and Jim,Jules and Jim (Movie Main Theme)
c0248f,"The Good, the Bad and the Ugly (Movie Main Theme)",Film & TV Masters,Ultimate Movie Theme Playlist,Movie,"The Good, the Bad and the Ugly (Movie Main Theme)-o-zafpeLXhE.webm",,,Name the movie.,"The Good, the Bad and the Ugly","The Good, the Bad and the Ugly (Movie Main Theme)"
065c2c,Superman (Movie Main Theme),Film & TV Masters,Ultimate Movie Theme Playlist,Movie,Superman (Movie Main Theme)-cm97g2cOKto.webm,,,Name the movie.,Superman,Superman (Movie Main Theme)
c1ff38,A Man and a Woman (Movie Main Theme),Film & TV Masters,Ultimate Movie Theme Playlist,Movie,A Man and a Woman (Movie Main Theme)-So9rDiGxQTQ.webm,,,Name the movie.,A man and a Woman,A Man and a Woman (Movie Main Theme)
aaf781,The Godfather,A Century Of Movie Soundtracks,A Century Of Movie Soundtracks Vol. 2,Movie,The Godfather-DGtEtwdZZKo.webm,,,Name the movie.,The Godfather.,The Godfather
3e0bac,The Pink Panther,A Century Of Movie Soundtracks,A Century Of Movie Soundtracks Vol. 1,Movie,The Pink Panther-XdnnytXfj5g.webm,,,Name the composer.,Henry Mancini,The Pink Panther
2f6b5f,"End Title (from ""Lawrence Of Arabia"")",London Philharmonic Orchestra,Lawrence Of Arabia (Original Soundtrack Recording),Movie,End Title--O-6Da8wD0A.webm,,,Name the movie.,Lawrence of Arabia,"End Title (from ""Lawrence Of Arabia"")"
8971dc,La dolce vita,"Nino Rota, Studio Orchestra, StudioConductor",Original Music for the Movies of Federico Fellini,Movie,La dolce vita - Titoli testa - Canzonetta - Notturno - Cadillac-M_pDPlITpcU.webm,,,Name the movie.,La Dolce Vita,La dolce vita
4efc9e,Amarcord,Nino Rota,Amarcord,Movie,Nino Rota - Amarcord-bk4MEhUkxco.webm,,,Name the composer.,Nino Rota,Amarcord
b06114,Patton,DLG Orchestra,Greatest Movie Themes,Movie,Patton - March-HAe40MzBktg.webm,,,Name the movie.,Patton,Patton
4e2dc2,Being Alive,2006 Broadway Revival Cast,Company (2006 Broadway Revival Cast),Broadway,Being Alive - Company 2006 Broadway Revival - Raul Esparza-YLTulpBF3H4.webm,,,Name the composer.,Stephen Sondheim,Being Alive
a83f57,Whatever Lola Wants,Gwen Verdon,Damn Yankees (Original Soundtrack) [Remastered],Broadway,"Whatever Lola Wants, Damn Yankees.-6kjQmgm0r4g.m4a",,,Name the musical.,Damn Yankees,Whatever Lola Wants
67c3f8,They Say It's Wonderful,Annie Get Your Gun - The 1999 Broadway Cast,Annie Get Your Gun - The New Broadway Cast Recording (Staring Bernadette Peters),Broadway,Annie Get Your Gun (1999 Broadway Revival Cast) - 9. They Say It's Wonderful-3nuUHCKiBuo.webm,,,Name the composer.,Irving Berlin,They Say It's Wonderful
ad443f,Alexander Hamilton,"Leslie Odom, Jr., Anthony Ramos, Daveed Diggs, Okieriete Onaodowan, Lin-Manuel Miranda, Phillipa Soo, Christopher Jackson & Original Broadway Cast of Hamilton",Hamilton (Original Broadway Cast Recording),Broadway,Alexander Hamilton-VhinPd5RRJw.webm,,,Name the musical.,Hamilton,Alexander Hamilton
e8b5d6,One (Reprise) / Finale,A Chorus Line Ensemble,A Chorus Line - 40th Anniversary Celebration (Original Broadway Cast Recording),Broadway,One (Reprise) _ Finale-OiBIXa_-7Vo.webm,,,Name the musical.,A Chorus Line,One (Reprise) / Finale
f0ce4d,Don't Rain On My Parade,Barbra Streisand,The Essential Barbra Streisand,Broadway,DON'T RAIN ON MY PARADE - BARBRA STREISAND--Yfh_CpA9Sk.webm,,,Name the song. ,Don't Rain On My Parade,Don't Rain On My Parade
3182d2,Corner of the Sky,Matthew James Thomas,Pippin (New Broadway Cast Recording),Broadway,Pippin corner of the sky-zZAXpH6Jt5c.m4a,,,Name the musical.,Pippin,Corner of the Sky
92b1df,Something's Coming,Matt Cavenaugh,West Side Story (New Broadway Cast Recording - 2009),Broadway,SOMETHING'S COMING- Matt Cavenaugh WEST SIDE S [BDWY RVIVAL]-jj19mkLIkkA.m4a,,,Name the song.,Something's Coming.,Something's Coming
bbd961,Overture,"2003 Broadway Cast of ""Gypsy""",Gypsy (2003 Broadway Cast),Broadway,Overture-Te-Tgsw2vOE.webm,,,Name the musical.,Gypsy,Overture
5c5a0b,42nd Street,"Wanda Richert, Lee Roy Reams & 42nd Street Ensemble",42nd Street - Original Broadway Cast Recording,Broadway,42nd Street-bPuQkW1-s9k.webm,,,Name the musical.,42nd Street,42nd Street
698543,Tenth Avenue Freeze-Out,Bruce Springsteen,Born To Run,New York,Bruce Springsteen & The E Street Band - Tenth Avenue Freeze-Out (Live in New York City)-r1twvwbB_cU.webm,,,Name the song.,Tenth Avenue Freeze Out,Tenth Avenue Freeze-Out
2b1e67,"Theme from New York, New York",Frank Sinatra,Ultimate Sinatra: The Centennial Collection,New York,"Theme From New York, New York (Remastered 2008)-le1QF3uoQNg.webm",,,Name the person who sang this song in the movie in which it first appeared.,Liza Minelli,"Theme from New York, New York"
379032,On Broadway,George Benson,The George Benson Collection,New York,GEORGE BENSON On Broadway Album Version-ok__l1Acuwg.webm,,,Name the song. ,On Broadway,On Broadway
7e08a4,Christmas In Hollis (Bonus Track),Run-DMC,Tougher Than Leather,New York,RUN DMC - Christmas In Hollis (Video)-OR07r0ZMFb8.webm,,,Name the song.,Christmas in Hollis,Christmas In Hollis (Bonus Track)
acbe89,Native New Yorker,Odyssey,Odyssey (Expanded Edition),New York,Odyssey - Native New Yorker (1977) HD-JpQ6NtbZxiE.webm,,,Name the song.,Native New Yorker,Native New Yorker
153019,Empire State of Mind (feat. Alicia Keys),JAY-Z & Alicia Keys,"The Hits Collection, Vol. One (Deluxe Edition)",New York,Jay-Z feat. Alicia Keys - Empire State of Mind Official Music Video (Original Version)-QsZlY0Vz4-o.webm,,,Name the song.,Empire State of Mind,Empire State of Mind (feat. Alicia Keys)
9488f6,Fairytale of New York,The Pogues,If I Should Fall from Grace With God [Expanded],New York,The Pogues -  Fairytale Of New York (Official Video)-j9jbdgZidu8.webm,,,Name the song.,Fairytale of New York,Fairytale of New York
24ee4e,Spanish Harlem,Ben E. King,Spanish Harlem,New York,Ben E King - Spanish Harlem-OGd6CdtOqEE.m4a,,,Name the song.,Spanish Herlem,Spanish Harlem
65ef22,The Boy from New York City,The Ad Libs,Discover 60s One Hit Wonders,New York,The Ad Libs - The Boy From New York City (with lyrics)-3TPYmeSqLjc.m4a,,,Name the song.,The Boy from New York City,The Boy from New York City
861953,Lullaby of Broadway (with The Dave Brubeck Trio) [Live],Tony Bennett,"The White House Sessions, Live 1962",New York,Lullaby Of Broadway (Live)-n8sd4KiP5iA.webm,,,Name the song.,Lullaby of Broadway,Lullaby of Broadway (with The Dave Brubeck Trio) [Live]